GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone
576509176,20160906,SCHOOL,SINGAPORE,4,4,1,-6.34715025906736
576543355,20160907,RIAU,SINGAPOREAN,4,5,1,-4.14507772020725
576543546,20160907,EMPLOYEE,SINGAPOREAN,4,2,1,-4.14507772020725
465537669,20150910,THE US,WORKER,4,10,1,-2.61261261261261
613158339,20161231,MINIST OF DEFENCE,SERVICEMAN,4,5,1,-5.19480519480519
610479377,20161221,TERRORIST,POLICE OFFICER,4,1,1,-10.7317073170731
610722878,20161222,SINGAPORE,MALAYSIAN,4,4,1,-4.55104551045511
639622390,20170323,SINGAPORE,TERRORIST,4,4,1,-6.66666666666669
522053096,20160310,SINGAPORE,CALIF,4,4,1,-5.42635658914729
439541254,20150609,SINGAPORE,FIREFIGHTER,4,10,1,-6.04651162790698
506638159,20160129,BALI,SINGAPORE,4,8,1,-2.85714285714286
585003077,20161003,MAGAZINE,SINGAPORE,4,10,1,-0.29154518950437
585805654,20161005,SINGAPORE,CORPORATION,4,10,1,-2.60115606936416
481696648,20151104,ISLAM,BUSINESS,4,2,1,-9.0032154340836
623434174,20170202,SAN FRANCISCO,SINGAPORE,4,4,1,-0.3584229390681
517059224,20160302,SINGAPORE,STUDENT,4,8,1,-5.66615620214395
620796494,20170126,SINGAPORE,GANG,4,4,1,-5.82010582010582
621298701,20170127,MONGOLIA,POPULATION,4,8,1,-4.5407636738906
484133606,20151112,SINGAPORE,HOSPITAL,4,6,1,-7.72357723577235
572761819,20160825,ZIMBABWE,PROTESTER,4,1,1,-9.39849624060151
448023432,20150710,SINGAPORE,HINDU PILGRIM,4,4,1,-5.57729941291585
611483088,20161224,RIAU,SINGAPOREAN,4,8,1,-2.51256281407035
611570046,20161225,INDONESIAN,INDONESIA,4,2,1,-0.28901734104046
611657869,20161225,RIAU,SINGAPOREAN,4,18,1,-3.30159037076425
590487201,20161019,SCHOOL,SINGAPORE,4,4,1,0.0
