GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
695148477,20171004,AL QAEDA,SYRIA,MOS,,10,1,25.45,81.85,"Allahabad, Uttar Pradesh, India",http://www.prabhasakshi.com/news/international/jim-mattis-says-pakistan-can-have-economic-benefits-from-india-by-ending-terror-havens/32912.html
695148482,20171004,AL QAEDA,SYRIA,MOS,,10,1,27.1667,78.05,"Taj Mahal, Uttar Pradesh, India",http://www.prabhasakshi.com/news/national/akhilesh-gives-big-statement-about-coalition-alliance-with-bsp/32914.html
695148480,20171004,AL QAEDA,SYRIA,MOS,,8,1,32.0333,75.5167,"Gurdaspur, Punjab, India",http://www.prabhasakshi.com/news/national/former-minister-sucha-singh-langah-surrenders-in-court-of-gurdaspur/32916.html
695148478,20171004,AL QAEDA,SYRIA,MOS,,10,1,18.975,72.8258,"Bombay, Maharashtra, India",http://www.prabhasakshi.com/news/business/sensex-ends-174-pts-higher-nifty-above-9900-post-rbi-policy-outcome/32907.html
695148484,20171004,AL QAEDA,SYRIA,MOS,,2,1,29.6161,76.9806,"Haryana, Haryana, India",http://www.prabhasakshi.com/news/national/former-minister-sucha-singh-langah-surrenders-in-court-of-gurdaspur/32916.html
695059216,20171004,ISLAMIC,,MOS,,10,1,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",https://www.nayaindia.com/world-news-in-hindi/australia-national-terror-law-plan-strict.html
695148479,20171004,AL QAEDA,SYRIA,MOS,,6,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.prabhasakshi.com/news/business/arun-jaitley-appeals-to-states-to-cut-vat-on-petrol-diesel/32918.html
695058773,20171004,AL QAEDA,SYRIA,MOS,,8,1,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",https://www.nayaindia.com/world-news-in-hindi/russia-airstrikes-wound-al-qaida-leader-in-syria.html
695148485,20171004,AL QAEDA,SYRIA,MOS,,8,1,25.45,81.85,"Allahabad, Uttar Pradesh, India",http://www.prabhasakshi.com/news/business/take-action-against-sale-of-adulterated-food-paswan-to-states/32915.html
694952008,20171004,ISLAMIC,A US,MOS,,10,1,20.0,77.0,India,http://www.prabhatkhabar.com/news/sampadkiya/story/1063831.html
695400162,20171005,ISLAMIC,,MOS,,10,1,30.3783,76.7808,"Ambala, Haryana, India",http://www.aajsamaaj.com/three-special-commanders-of-us-special-forces-were-killed-in-niger/26262
695286500,20171005,MUSLIM,MALE,MOS,,5,1,22.5697,88.3697,"Kolkata, West Bengal, India",https://blogs.timesofindia.indiatimes.com/indus-calling/forgotten-by-india-rohingya-hindus-stayed-home-on-durga-puja/
695467679,20171005,ISLAMIC,ADEN,MOS,,3,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.christianpost.com/news/father-tom-uzhunnalil-receive-mother-teresa-award-social-justice-201801/
